Component,Explained Variance Ratio,Cumulative Explained Variance
1,0.7502704756481321,0.7502704756481321
2,0.059102900713898066,0.8093733763620301
3,0.023735724559687837,0.833109100921718
4,0.018934341723328394,0.8520434426450464
5,0.014458502214696793,0.8665019448597432
6,0.013453578509962337,0.8799555233697055
7,0.011205557937101606,0.8911610813068072
8,0.009152381422614224,0.9003134627294214
9,0.008958209466022743,0.9092716721954441
10,0.007819624699791099,0.9170912968952353
11,0.007473836905454136,0.9245651338006894
12,0.007069933597763874,0.9316350673984533
13,0.006414443496004996,0.9380495108944582
14,0.005851424254985143,0.9439009351494434
15,0.005553613763993045,0.9494545489134364
16,0.0053445054407037645,0.9547990543541401
17,0.004965522833405354,0.9597645771875455
18,0.00488839839942095,0.9646529755869664
19,0.004675857110825735,0.9693288326977921
20,0.004494549836604216,0.9738233825343964
21,0.00427606900253141,0.9780994515369278
22,0.004021330377907441,0.9821207819148352
23,0.0037475397701953466,0.9858683216850306
24,0.003542128348856275,0.9894104500338868
25,0.003148589454532767,0.9925590394884196
26,0.002686636407341987,0.9952456758957616
27,0.0025530476613822373,0.9977987235571438
28,0.002201276442855797,0.9999999999999997
