Feature,PC1_weight
Q16,0.19603677376249895
Q5,0.19522509741934707
Q13,0.1950487753232018
Q22,0.19490153777741903
Q23,0.1940066086822527
Q19,0.19389454188212693
Q21,0.19360480297289256
Q18,0.19358528801737895
Q20,0.193567001390737
Q25,0.1930565026728716
Q26,0.19292524216477336
Q6,0.19224300389416737
Q14,0.19169132495315735
Q24,0.1906774945423137
Q27,0.18978908172246967
Q10,0.18967228215615053
Q15,0.18952697220624184
Q3,0.18878037709964013
Q2,0.18817584261441736
Q28,0.1870742262754891
Q4,0.1857640484037721
Q7,0.18518103890159623
Q8,0.1844797121391091
Q17,0.18143624644870243
Q9,0.18061602174576025
Q11,0.1791819763754381
Q12,0.17837964823925806
Q1,0.17015783887984764
