,PC1,PC2
Q1,0.1798917054286849,0.32505449649554585
Q2,0.182870522153578,0.24160699359327292
Q3,0.1818931210348288,0.1384675911944166
Q4,0.18431543150260227,0.21919524118149097
Q5,0.18773143020227603,0.19845936217332563
Q6,0.18600505629687097,0.21140250812627762
Q7,0.18710489496808538,0.23060440586870784
Q8,0.1846341495888228,0.2417094856915169
Q9,0.1849003836555614,0.15386789038110496
Q10,0.191929822471234,0.17939910444317014
Q11,0.1867662783569528,0.20350756691076038
Q12,0.18542637700084094,0.21742712894624375
Q13,0.19174196755165002,-0.1356783472937072
Q14,0.1920077240176018,-0.15028774987917756
Q15,0.1917760844537051,-0.14951321187082664
Q16,0.19492687918601817,-0.07616289839543089
Q17,0.1839748714923824,-0.2542085726940875
Q18,0.19386898387328155,-0.10489816423813313
Q19,0.1923397123699472,-0.14871562027547672
Q20,0.1938990244023476,-0.18475765757420784
Q21,0.19262921256870924,-0.1990762227760782
Q22,0.19177943058664765,-0.20423425103990855
Q23,0.19380532360598426,-0.12006555141509193
Q24,0.1924553662258292,-0.08675652299779271
Q25,0.18984368903996038,-0.21971560262238818
Q26,0.19219011772752942,-0.1347881090750319
Q27,0.1895689245553068,-0.08473031141353865
Q28,0.18995386448781246,-0.22490615683991666
